kelompok,kandidat,model,config,val_f1_macro,test_f1_macro,test_accuracy,test_f1_judi,test_precision_judi,test_recall_judi,trainable_params,trainable_params_head_rmb,train_time_s,infer_latency_ms,sumber_file
RM-a,#1 (resmi),RM-a,"lr=2e-5, epochs=5, batch=32, warmup_ratio=0.1, weight_decay=0.01",0.982160,0.960653,0.976512,0.935673,0.933852,0.937500,109485314,,81.10,9.3978,results/vast/metrics/final_comparison.csv
RM-a,#2,RM-a,"lr=2e-5, epochs=5, batch=32, warmup_ratio=0.1, weight_decay=0.10",0.982160,0.960772,0.976512,0.935922,0.930502,0.941406,109485314,,82.90,,results_c2/vast_candidate2/runs_rma_c2.csv
RM-b (performa-terbaik),#1 (resmi),RM-b,"head_arch=mlp, hidden_dim=1024, epochs=10, lr=1e-3, dropout=0.1, weight_decay=0.0, batch=32",0.965301,0.948574,0.969395,0.915851,0.917647,0.914062,789506,,11.65,9.0789,results/vast/metrics/final_comparison.csv
RM-b (performa-terbaik),#2,RM-b,"head_arch=mlp, hidden_dim=1024, epochs=10, lr=1e-3, dropout=0.1, weight_decay=0.01, batch=32",0.964980,0.954062,0.972954,0.924603,0.939516,0.910156,789506,,10.44,0.0772 (head saja),results_c2/vast_candidate2/runs_rmb_c2.csv
RM-c x RM-b-performa-terbaik,#1 (resmi),RM-c,"head=RM-b #1, alpha=0.2, k=5, weighting=similarity",0.969903,0.949693,0.970107,0.917647,0.921260,0.914062,0,789506,0.00,10.9568,results/vast/metrics/final_comparison.csv
RM-c x RM-b-performa-terbaik,#2,RM-c,"head=RM-b #1 (direproduksi), alpha=0.2, k=3, weighting=similarity",0.968651,0.948574,0.969395,0.915851,0.917647,0.914062,0,789506,0.00,,results_c2/vast_candidate2/runs_rmc_c2.csv
RM-c x RM-b-cost-termurah,#1,RM-c,"head=RM-b linear (run#1), alpha=0.5, k=3, weighting=similarity",0.957603,0.951262,0.970819,0.920388,0.915058,0.925781,0,1538,0.00,,results/vast_rmc_cheap_head/runs_rmc.csv (run#67)
RM-c x RM-b-cost-termurah,#2,RM-c,"head=RM-b linear (run#1), alpha=0.4, k=5, weighting=similarity",0.957120,0.939915,0.963701,0.902111,0.886792,0.917969,0,1538,0.00,,results/vast_rmc_cheap_head/runs_rmc.csv (run#69)
