run_id,scenario,batch_id,model_name,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmb,,indobenchmark/indobert-base-p2,linear,256,5,0.0002,0.1,0.01,32,42,0.912507,0.944365,0.891506,0.93878,0.859712,5,4.27,47.22,51.49,1538,40.6,0.1652,baseline head linear di atas fitur beku,False,2026-09-02 15:38:31,,
2,rmb,,indobenchmark/indobert-base-p2,mlp,256,5,0.0002,0.1,0.01,32,42,0.940029,0.96291,0.927013,0.95466,0.902985,5,5.05,47.22,52.27,197378,46.2,0.2833,uji apakah satu hidden layer menutup selisih terhadap RM-a,False,2026-09-02 15:38:38,2.7522,False
