run_id,scenario,batch_id,model_name,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmb,,indobenchmark/indobert-base-p2,mlp,1024,10,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,2.54,7.9,10.44,789506,64.4,0.0772,Kandidat #2 RM-B performa (run#23 historis): sama dengan run#28 kecuali weight_decay=0.01,0.972954,0.954062,0.924603,0.939516,0.910156,True,2026-08-03 08:06:56,,
2,rmb,,indobenchmark/indobert-base-p2,mlp,1024,10,0.001,0.1,0.0,32,42,0.965301,0.979315,0.967441,0.963195,0.943249,6,2.48,7.9,10.38,789506,63.9,0.0725,"Reproduksi head resmi run#28 (mlp/1024, wd=0.0) di out_dir ini -- jadi juara baru (val lebih tinggi dari kandidat #2 di atas), checkpoint-nya dipakai step 4",,,,,,True,2026-08-03 08:07:05,0.0321,True
