epoch,train_loss,val_f1_macro,val_acc,val_f1_judi,val_precision_judi,val_recall_judi
1,0.223284,0.9398988998326429,0.9643366619115549,0.9015748031496063,0.9123505976095617,0.8910505836575876
2,0.145812,0.9417655182917332,0.9657631954350927,0.9043824701195219,0.926530612244898,0.8832684824902723
3,0.108676,0.9469481969198168,0.9686162624821684,0.9130434782608695,0.927710843373494,0.8988326848249028
4,0.095704,0.94585981914097,0.9671897289586305,0.9118773946360154,0.8981132075471698,0.9260700389105059
5,0.079634,0.9595024892528843,0.9757489300998573,0.933852140077821,0.933852140077821,0.933852140077821
6,0.051642,0.9649800386737237,0.9793152639087018,0.9425742574257425,0.9596774193548387,0.9260700389105059
7,0.026273,0.9486672524897481,0.9686162624821684,0.9166666666666666,0.8929889298892989,0.9416342412451362
8,0.01893,0.9485625034941578,0.9700427960057061,0.9153225806451613,0.9497907949790795,0.8832684824902723
9,0.018536,0.9634895833333332,0.978601997146933,0.94,0.9670781893004116,0.914396887159533
10,0.012572,0.9572491462026346,0.9743223965763196,0.9302325581395349,0.9266409266409267,0.933852140077821
