run_id,epoch,train_loss,val_f1_macro,val_acc,val_f1_judi,val_precision_judi,val_recall_judi
1,1,0.216257,0.9398126810839972,0.9621968616262482,0.903107861060329,0.8517241379310345,0.9610894941634242
1,2,0.079411,0.9646911863962848,0.978601997146933,0.942528735632184,0.9283018867924528,0.9571984435797666
1,3,0.039179,0.974872900847726,0.985021398002853,0.958904109589041,0.9645669291338582,0.953307392996109
1,4,0.015346,0.9739525802517928,0.9843081312410842,0.9575289575289576,0.950191570881226,0.9649805447470816
1,5,0.010588,0.973636254850676,0.9843081312410842,0.9568627450980391,0.9644268774703556,0.9494163424124512
2,1,0.216257,0.9398126810839972,0.9621968616262482,0.903107861060329,0.8517241379310345,0.9610894941634242
2,2,0.079411,0.9646911863962848,0.978601997146933,0.942528735632184,0.9283018867924528,0.9571984435797666
2,3,0.039179,0.974872900847726,0.985021398002853,0.958904109589041,0.9645669291338582,0.953307392996109
2,4,0.015346,0.9739525802517928,0.9843081312410842,0.9575289575289576,0.950191570881226,0.9649805447470816
2,5,0.010588,0.973636254850676,0.9843081312410842,0.9568627450980391,0.9644268774703556,0.9494163424124512
3,1,0.22111,0.96930823117338,0.9814550641940084,0.95,0.9391634980988594,0.9610894941634242
3,2,0.076248,0.967791587217717,0.9807417974322395,0.9473684210526316,0.94921875,0.9455252918287936
3,3,0.041519,0.9741830721842776,0.9843081312410842,0.9580152671755724,0.9400749063670412,0.9766536964980544
3,4,0.019805,0.9737957283401016,0.9843081312410842,0.9571984435797666,0.9571984435797666,0.9571984435797666
3,5,0.009426,0.9772659579098472,0.9864479315263908,0.9628180039138944,0.968503937007874,0.9571984435797666
4,1,0.20221,0.959344238390075,0.9750356633380884,0.9340866290018832,0.9051094890510948,0.9649805447470816
4,2,0.070744,0.970267255383493,0.9821683309557776,0.9514563106796116,0.9496124031007752,0.953307392996109
4,3,0.028915,0.970267255383493,0.9821683309557776,0.9514563106796116,0.9496124031007752,0.953307392996109
5,1,0.244808,0.9518354927365528,0.970042796005706,0.9222222222222224,0.8798586572438163,0.9688715953307392
5,2,0.089576,0.949963824188802,0.9686162624821684,0.9194139194139194,0.8685121107266436,0.9766536964980544
5,3,0.048205,0.9565166731910376,0.9736091298145506,0.9292543021032504,0.9135338345864662,0.9455252918287936
5,4,0.025103,0.964158622382199,0.978601997146933,0.94140625,0.9450980392156862,0.9377431906614786
5,5,0.012053,0.9734740984599084,0.9843081312410842,0.9565217391304348,0.9718875502008032,0.9416342412451362
5,6,0.004292,0.9721393499066444,0.9835948644793152,0.9542743538767396,0.975609756097561,0.933852140077821
5,7,0.002231,0.9732256944444444,0.9843081312410842,0.956,0.9835390946502056,0.9299610894941636
5,8,0.001172,0.9757356326215556,0.985734664764622,0.9601593625498008,0.9836734693877552,0.9377431906614786
6,1,0.249648,0.9604487147574716,0.9757489300998572,0.9358490566037736,0.9084249084249084,0.9649805447470816
6,2,0.08371,0.9406301959364932,0.9621968616262482,0.9048473967684022,0.84,0.980544747081712
6,3,0.04244,0.972052421427228,0.9835948644793152,0.9540918163672656,0.9795081967213116,0.9299610894941636
6,4,0.024847,0.9683620635617124,0.9807417974322395,0.9485714285714286,0.9291044776119404,0.9688715953307392
6,5,0.017353,0.9723110239837744,0.9835948644793152,0.9546351084812624,0.968,0.9416342412451362
7,1,0.222213,0.9683620635617124,0.9807417974322395,0.9485714285714286,0.9291044776119404,0.9688715953307392
7,2,0.076539,0.9636749618671514,0.977888730385164,0.940952380952381,0.9216417910447762,0.9610894941634242
7,3,0.040046,0.9705324256816006,0.9821683309557776,0.9520153550863724,0.9393939393939394,0.9649805447470816
8,1,0.279666,0.9530484373302578,0.9707560627674752,0.9242144177449167,0.8802816901408451,0.9727626459143968
8,2,0.097127,0.9406301959364932,0.9621968616262482,0.9048473967684022,0.84,0.980544747081712
8,3,0.046367,0.972225547913643,0.9835948644793152,0.9544554455445544,0.9717741935483872,0.9377431906614786
8,4,0.024706,0.9763205275016298,0.985734664764622,0.9613899613899614,0.9540229885057472,0.9688715953307392
8,5,0.015707,0.973309195883711,0.9843081312410842,0.9561752988047808,0.979591836734694,0.933852140077821
8,6,0.006914,0.9784951734293194,0.9871611982881596,0.96484375,0.9686274509803922,0.9610894941634242
8,7,0.004611,0.9770558874069224,0.9864479315263908,0.9623762376237625,0.9798387096774194,0.9455252918287936
8,8,0.002094,0.979534235118442,0.9878744650499288,0.9664694280078896,0.98,0.953307392996109
9,1,0.215403,0.9530484373302578,0.9707560627674752,0.9242144177449167,0.8802816901408451,0.9727626459143968
9,2,0.07887,0.9667493359353824,0.9800285306704708,0.9457364341085271,0.942084942084942,0.9494163424124512
9,3,0.036892,0.9727278647540256,0.9835948644793152,0.9555125725338492,0.95,0.9610894941634242
9,4,0.019298,0.9737163230802792,0.9843081312410842,0.95703125,0.9607843137254902,0.953307392996109
9,5,0.007327,0.9747961529077904,0.985021398002853,0.9587426326129664,0.9682539682539684,0.9494163424124512
10,1,0.198259,0.9658176137906568,0.9793152639087018,0.944337811900192,0.9318181818181818,0.9571984435797666
10,2,0.067318,0.9721393499066444,0.9835948644793152,0.9542743538767396,0.975609756097561,0.933852140077821
10,3,0.027148,0.9750993547754148,0.985021398002853,0.9593810444874274,0.953846153846154,0.9649805447470816
11,1,0.232508,0.9571446156489812,0.9736091298145506,0.9305816135084428,0.8985507246376812,0.9649805447470816
11,2,0.095921,0.966649108796493,0.9800285306704708,0.9455252918287936,0.9455252918287936,0.9455252918287936
11,3,0.042986,0.9602179217978548,0.9757489300998572,0.935361216730038,0.9144981412639404,0.9571984435797666
11,4,0.027535,0.957120282738348,0.9743223965763196,0.9299610894941636,0.9299610894941636,0.9299610894941636
11,5,0.020075,0.966548047556719,0.9800285306704708,0.9453125,0.9490196078431372,0.9416342412451362
11,6,0.006399,0.9711514719196686,0.9828815977175464,0.952755905511811,0.9641434262948207,0.9416342412451362
11,7,0.003397,0.9668805858498366,0.9807417974322395,0.9454545454545454,0.9831932773109244,0.9105058365758756
11,8,0.002237,0.9734740984599084,0.9843081312410842,0.9565217391304348,0.9718875502008032,0.9416342412451362
12,1,0.210571,0.959226406863458,0.9750356633380884,0.9338374291115312,0.9080882352941176,0.9610894941634242
12,2,0.089794,0.9669473258790248,0.9800285306704708,0.946153846153846,0.935361216730038,0.9571984435797666
12,3,0.041168,0.9724798437856046,0.9835948644793152,0.9549902152641878,0.9606299212598424,0.9494163424124512
12,4,0.021616,0.9725632039262032,0.9835948644793152,0.9551656920077972,0.95703125,0.953307392996109
12,5,0.008653,0.974872900847726,0.985021398002853,0.958904109589041,0.9645669291338582,0.953307392996109
13,1,0.194504,0.9623372654893705,0.9771754636233951,0.9386973180076629,0.9245283018867925,0.953307392996109
13,2,0.080255,0.9678886358141725,0.9807417974322397,0.9475728155339805,0.9457364341085271,0.9494163424124513
13,3,0.035766,0.9703563747326365,0.9821683309557775,0.9516441005802708,0.9461538461538461,0.9571984435797666
