run_id,epoch,train_loss,val_f1_macro,val_acc,val_f1_judi,val_precision_judi,val_recall_judi
1,1,0.302876,0.9466414745187456,0.9679029957203994,0.9129593810444874,0.9076923076923076,0.9182879377431906
1,2,0.097054,0.9609870859209976,0.9764621968616264,0.9364161849710982,0.9274809160305344,0.9455252918287936
1,3,0.055007,0.9624486890046078,0.977888730385164,0.9383697813121272,0.959349593495935,0.9182879377431906
1,4,0.033989,0.9685541752933058,0.9814550641940084,0.9484126984126984,0.9676113360323888,0.9299610894941636
1,5,0.02076,0.966649108796493,0.9800285306704708,0.9455252918287936,0.9455252918287936,0.9455252918287936
2,1,0.304302,0.9561875,0.9743223965763196,0.928,0.9547325102880658,0.9027237354085604
2,2,0.099334,0.9615352958928914,0.9771754636233952,0.937007874015748,0.9482071713147412,0.926070038910506
2,3,0.053502,0.968842846641708,0.9814550641940084,0.9490196078431372,0.9565217391304348,0.9416342412451362
2,4,0.026022,0.9683576388888888,0.9814550641940084,0.948,0.9753086419753086,0.9221789883268484
2,5,0.013977,0.9685541752933058,0.9814550641940084,0.9484126984126984,0.9676113360323888,0.9299610894941636
3,1,0.279141,0.9629076155371192,0.977888730385164,0.9393346379647748,0.9448818897637796,0.933852140077821
3,2,0.090677,0.9467966803610024,0.9671897289586304,0.9138576779026216,0.8808664259927798,0.9494163424124512
3,3,0.053577,0.9602723387593284,0.9764621968616264,0.9349112426035504,0.948,0.9221789883268484
4,1,0.331718,0.8944912703190849,0.92867332382311,0.8344370860927153,0.7262247838616714,0.980544747081712
4,2,0.106921,0.9562582478508156,0.9736091298145506,0.928709055876686,0.9198473282442748,0.9377431906614786
4,3,0.064642,0.9632419046684692,0.977888730385164,0.9400386847195358,0.9346153846153846,0.9455252918287936
4,4,0.033287,0.9622133638209174,0.977888730385164,0.937875751503006,0.9669421487603306,0.9105058365758756
4,5,0.021727,0.9623315245323508,0.977888730385164,0.93812375249501,0.9631147540983608,0.914396887159533
4,6,0.011745,0.9608095264717392,0.9771754636233952,0.935483870967742,0.9707112970711296,0.9027237354085604
4,7,0.006241,0.9659236111111112,0.9800285306704708,0.944,0.97119341563786,0.9182879377431906
4,8,0.003587,0.9647617487560702,0.9793152639087018,0.942115768463074,0.9672131147540984,0.9182879377431906
5,1,0.331331,0.9615352958928914,0.9771754636233952,0.937007874015748,0.9482071713147412,0.926070038910506
5,2,0.103368,0.9530601312441408,0.971469329529244,0.9236641221374046,0.906367041198502,0.9416342412451362
5,3,0.059453,0.9723957865180562,0.9835948644793152,0.9548133595284872,0.9642857142857144,0.9455252918287936
5,4,0.039302,0.967495549893996,0.9807417974322395,0.9467455621301776,0.96,0.933852140077821
5,5,0.026571,0.9685541752933058,0.9814550641940084,0.9484126984126984,0.9676113360323888,0.9299610894941636
6,1,0.310373,0.9511663305433355,0.971469329529244,0.9196787148594378,0.950207468879668,0.8910505836575876
6,2,0.09366,0.959226406863458,0.9750356633380884,0.9338374291115312,0.9080882352941176,0.9610894941634242
6,3,0.056064,0.9664461425372242,0.9800285306704708,0.9450980392156862,0.9525691699604744,0.9377431906614786
7,1,0.375195,0.9219028520499108,0.9500713266761768,0.875,0.8085808580858086,0.953307392996109
7,2,0.113425,0.9714135218255654,0.9828815977175464,0.953307392996109,0.953307392996109,0.953307392996109
