model,config,test_f1_macro,test_acc,test_f1_judi,test_precision_judi,test_recall_judi,val_f1_macro,trainable_params,train_time_s,infer_latency_ms,infer_peak_gpu_mem_mb
RM-a,"{""lr"": 3e-05, ""epochs"": 8, ""batch"": 32, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01, ""micro_batch"": 32, ""seed"": 42}",0.967709,0.980783,0.947162,0.94902,0.945312,0.983223,109485314,132.18,4.7985,1049.5
RM-b,"{""head_arch"": ""mlp"", ""hidden_dim"": 1024, ""epochs"": 10, ""lr"": 0.001, ""dropout"": 0.1, ""weight_decay"": 0.0, ""batch"": 32, ""seed"": 42}",0.948574,0.969395,0.915851,0.917647,0.914062,0.965301,789506,9.03,4.5857,856.4
RM-c,"{""alpha"": 0.2, ""k"": 1, ""weighting"": ""similarity""}",0.950816,0.970819,0.91945,0.924901,0.914062,0.969995,0,0.0,5.7336,856.4
